Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist
Astronomer,11.0,5.0,12.0,16.0,17.0,11.0,18.0,19.0
Astronomer,12.0,6.0,12.0,16.0,16.0,11.0,18.0,19.0
Astronomer,13.0,7.0,12.0,16.0,15.0,11.0,18.0,19.0
Astronomer,14.0,8.0,12.0,16.0,19.0,11.0,18.0,19.0
Astronomer,13.0,9.0,12.0,16.0,20.0,11.0,19.0,19.0
Astronomer,12.0,8.0,12.0,16.0,17.0,11.0,19.0,19.0
Astronomer,11.0,7.0,12.0,16.0,16.0,11.0,19.0,19.0
Astronomer,14.0,6.0,12.0,16.0,15.0,11.0,19.0,19.0
Astronomer,11.0,5.0,12.0,16.0,19.0,11.0,19.0,19.0
Astronomer,12.0,5.0,13.0,16.0,20.0,12.0,19.0,19.0
Astronomer,13.0,6.0,13.0,16.0,17.0,12.0,19.0,19.0
Astronomer,14.0,7.0,13.0,16.0,16.0,12.0,19.0,19.0
Astronomer,13.0,8.0,13.0,17.0,15.0,12.0,19.0,19.0
Astronomer,12.0,9.0,13.0,17.0,19.0,12.0,19.0,19.0
Astronomer,11.0,8.0,13.0,17.0,20.0,12.0,19.0,18.0
Astronomer,14.0,7.0,13.0,17.0,15.0,12.0,19.0,18.0
Astronomer,11.0,6.0,13.0,17.0,15.0,12.0,20.0,18.0
Astronomer,12.0,5.0,13.0,18.0,16.0,12.0,20.0,18.0
Astronomer,13.0,5.0,13.0,18.0,16.0,12.0,20.0,18.0
Astronomer,14.0,6.0,14.0,18.0,17.0,13.0,20.0,18.0
Astronomer,13.0,7.0,14.0,18.0,16.0,13.0,20.0,18.0
Astronomer,12.0,8.0,14.0,18.0,15.0,13.0,16.0,18.0
Astronomer,11.0,9.0,14.0,18.0,19.0,13.0,16.0,18.0
Astronomer,14.0,8.0,14.0,18.0,20.0,13.0,16.0,18.0
Astronomer,11.0,7.0,14.0,18.0,16.0,13.0,16.0,19.0
Astronomer,12.0,6.0,14.0,19.0,16.0,13.0,16.0,20.0
Astronomer,13.0,5.0,14.0,19.0,17.0,13.0,16.0,20.0
Astronomer,14.0,5.0,14.0,19.0,17.0,13.0,16.0,20.0
Astronomer,13.0,5.0,14.0,19.0,16.0,13.0,16.0,20.0
Astronomer,12.0,6.0,14.0,19.0,15.0,13.0,16.0,20.0
Astronomer,11.0,7.0,14.0,19.0,19.0,13.0,16.0,20.0
Astronomer,14.0,8.0,14.0,19.0,20.0,13.0,16.0,20.0
Astronomer,11.0,9.0,14.0,19.0,17.0,13.0,16.0,20.0
Astronomer,12.0,8.0,14.0,19.0,17.0,13.0,16.0,20.0
Astronomer,13.0,7.0,11.0,19.0,17.0,13.0,16.0,20.0
Astronomer,14.0,6.0,11.0,19.0,16.0,13.0,16.0,20.0
Astronomer,13.0,5.0,11.0,20.0,15.0,13.0,16.0,20.0
Astronomer,12.0,8.0,11.0,20.0,19.0,12.0,16.0,20.0
Astronomer,11.0,5.0,11.0,20.0,20.0,12.0,16.0,20.0
Astronomer,14.0,6.0,11.0,20.0,17.0,12.0,16.0,20.0
Astronomer,11.0,7.0,11.0,20.0,17.0,12.0,17.0,15.0
Astronomer,12.0,8.0,11.0,20.0,18.0,12.0,17.0,15.0
Astronomer,13.0,9.0,11.0,20.0,17.0,12.0,17.0,15.0
Astronomer,14.0,8.0,11.0,20.0,16.0,12.0,17.0,15.0
Astronomer,13.0,7.0,12.0,20.0,15.0,11.0,17.0,15.0
Astronomer,12.0,6.0,12.0,20.0,19.0,11.0,17.0,15.0
Astronomer,11.0,5.0,12.0,20.0,20.0,11.0,17.0,15.0
Astronomer,14.0,9.0,12.0,20.0,18.0,11.0,17.0,15.0
Astronomer,11.0,7.0,12.0,20.0,18.0,11.0,17.0,15.0
Astronomer,12.0,9.0,12.0,20.0,18.0,11.0,17.0,15.0
Geologist,11.0,8.0,17.0,19.0,13.0,6.0,12.0,20.0
Geologist,12.0,5.0,16.0,19.0,14.0,7.0,12.0,20.0
Geologist,13.0,6.0,15.0,19.0,13.0,8.0,12.0,20.0
Geologist,14.0,7.0,19.0,19.0,12.0,9.0,12.0,20.0
Geologist,13.0,8.0,20.0,19.0,11.0,8.0,12.0,20.0
Geologist,12.0,9.0,17.0,19.0,14.0,5.0,12.0,20.0
Geologist,11.0,8.0,17.0,19.0,11.0,6.0,12.0,20.0
Geologist,14.0,5.0,18.0,19.0,12.0,7.0,12.0,20.0
Geologist,11.0,6.0,17.0,19.0,13.0,8.0,12.0,20.0
Geologist,12.0,7.0,17.0,19.0,13.0,9.0,12.0,20.0
Geologist,13.0,8.0,16.0,19.0,14.0,8.0,13.0,20.0
Geologist,14.0,9.0,15.0,15.0,13.0,5.0,13.0,20.0
Geologist,13.0,8.0,19.0,15.0,12.0,6.0,13.0,20.0
Geologist,12.0,5.0,20.0,15.0,11.0,7.0,13.0,20.0
Geologist,11.0,6.0,17.0,15.0,14.0,8.0,13.0,20.0
Geologist,14.0,7.0,17.0,15.0,11.0,9.0,13.0,20.0
Geologist,11.0,8.0,18.0,15.0,12.0,8.0,13.0,20.0
Geologist,12.0,9.0,17.0,15.0,13.0,5.0,13.0,18.0
Geologist,13.0,8.0,17.0,15.0,13.0,6.0,13.0,18.0
Geologist,14.0,5.0,16.0,15.0,14.0,7.0,13.0,18.0
Geologist,13.0,6.0,15.0,15.0,13.0,8.0,13.0,18.0
Geologist,12.0,7.0,19.0,18.0,12.0,9.0,13.0,18.0
Geologist,11.0,8.0,20.0,18.0,11.0,8.0,11.0,18.0
Geologist,14.0,9.0,17.0,18.0,14.0,5.0,11.0,18.0
Geologist,11.0,8.0,17.0,18.0,11.0,6.0,11.0,18.0
Geologist,12.0,5.0,18.0,18.0,12.0,7.0,11.0,18.0
Geologist,13.0,6.0,17.0,18.0,13.0,8.0,11.0,18.0
Geologist,14.0,7.0,17.0,18.0,13.0,9.0,11.0,18.0
Geologist,13.0,8.0,16.0,18.0,14.0,8.0,11.0,18.0
Geologist,12.0,9.0,15.0,18.0,13.0,5.0,11.0,18.0
Geologist,11.0,8.0,19.0,18.0,12.0,6.0,11.0,18.0
Geologist,14.0,5.0,20.0,18.0,11.0,7.0,11.0,18.0
Geologist,11.0,6.0,17.0,18.0,14.0,8.0,11.0,18.0
Geologist,12.0,7.0,17.0,18.0,11.0,9.0,11.0,17.0
Geologist,13.0,8.0,18.0,18.0,12.0,8.0,11.0,17.0
Geologist,14.0,9.0,17.0,18.0,13.0,5.0,11.0,17.0
Geologist,13.0,8.0,17.0,18.0,13.0,6.0,14.0,17.0
Geologist,12.0,5.0,16.0,18.0,14.0,7.0,14.0,17.0
Geologist,11.0,6.0,15.0,18.0,13.0,8.0,14.0,17.0
Geologist,14.0,7.0,19.0,19.0,12.0,9.0,14.0,17.0
Geologist,11.0,8.0,20.0,19.0,11.0,8.0,14.0,17.0
Geologist,12.0,9.0,17.0,19.0,14.0,5.0,14.0,17.0
Geologist,13.0,8.0,17.0,19.0,11.0,6.0,14.0,17.0
Geologist,14.0,5.0,18.0,19.0,12.0,7.0,14.0,17.0
Geologist,13.0,6.0,17.0,19.0,11.0,8.0,14.0,17.0
Geologist,12.0,7.0,16.0,19.0,12.0,9.0,14.0,17.0
Geologist,11.0,8.0,15.0,19.0,13.0,8.0,14.0,17.0
Geologist,14.0,9.0,19.0,19.0,14.0,5.0,14.0,17.0
Geologist,11.0,7.0,20.0,19.0,13.0,9.0,14.0,17.0
Geologist,12.0,6.0,17.0,19.0,12.0,7.0,14.0,17.0
Marine Biologist,5.0,6.0,11.0,20.0,12.0,7.0,13.0,19.0
Marine Biologist,6.0,5.0,12.0,20.0,12.0,9.0,13.0,19.0
